x,y
73.821339,161.631120
73.016065,162.841416
73.797115,161.388259
72.996032,162.633481
73.836363,161.191950
72.994140,162.498711
73.849741,161.092641
73.000076,162.421354
73.853735,161.055245
73.132827,162.318201
73.880095,160.991031
73.030098,162.368644
73.848741,161.038239
73.122344,162.311339
73.866338,161.033114
73.183607,162.258373
73.831835,161.043765
73.136454,162.271089
73.701998,161.103679
73.088587,162.245618
73.612580,161.060118
73.055642,162.083201
73.138417,161.033094
72.194123,162.135625
71.606202,161.079836
70.555391,162.087056
69.440498,161.606984
68.643641,161.347311
66.514661,161.073882
66.125420,159.435224
63.611899,159.847912
63.515480,157.684456
61.044924,158.574439
60.872968,156.359212
58.542922,157.073304
58.602020,154.707713
56.094088,155.208346
56.105523,152.797812
53.525531,153.223853
53.810862,150.711495
51.388779,150.992152
51.426509,148.802257
49.372104,148.559262
49.509769,146.273927
47.803520,145.827865
47.775895,144.420115
46.622817,144.036036
46.528899,143.141361
45.372878,143.078023
45.444841,141.945257
43.839541,142.037203
44.052936,140.327395
42.262735,140.087251
42.841084,138.125441
40.947843,137.905355
41.916731,136.231114
39.968345,135.988614
41.440417,134.550070
40.056599,134.221902
41.098197,133.952958
40.178617,133.960022
40.626844,134.154392
39.805207,134.360327
40.667834,133.915107
39.487491,134.070117
40.020068,132.811668
38.319601,132.345151
38.568242,130.255887
36.917930,129.367544
37.329682,127.143868
36.012487,125.855269
36.781292,123.635839
35.949472,122.252966
37.002669,120.567851
36.263233,119.376651
36.979336,117.965078
35.491279,117.167238
36.263822,115.795583
34.988922,114.666250
36.326842,113.247102
35.090284,111.861507
36.665558,111.219457
35.360107,110.616499
36.982982,110.777542
35.596331,110.925197
37.032739,110.891238
35.566497,110.933397
36.996987,110.834570
35.583865,111.028674
37.065573,110.934554
35.828761,111.257663
37.386896,110.750098
35.981748,110.366353
37.374881,109.320231
35.650373,107.998918
36.646915,106.667645
35.196651,104.895150
36.526804,103.503185
35.592023,101.619135
37.374848,100.745886
36.613733,99.043978
38.517763,98.451120
37.019173,96.957608
38.415823,96.148658
36.967882,94.510367
38.353730,93.162747
37.016928,91.411666
38.483487,90.143802
37.077019,88.748671
38.676817,87.613641
37.454113,86.452107
39.218557,85.652945
37.930306,85.000433
39.593086,84.538502
37.947624,84.081627
39.745094,83.915582
37.827761,83.341071
39.888221,83.362485
37.689513,82.318722
39.810541,82.417871
37.949877,81.045503
40.112527,80.876664
38.788658,79.024643
40.367411,78.150230
38.733229,76.018542
40.045949,75.603612
38.728741,74.436412
40.446323,74.957810
39.443038,73.664662
41.051874,74.156767
39.851562,72.348124
41.595369,73.283642
40.677187,71.475342
42.708540,72.816027
41.746138,70.590632
44.024891,71.831609
43.159541,69.457694
45.470666,69.960574
44.523994,67.604826
46.665225,67.559368
45.586387,65.244017
47.643145,64.967148
46.629762,62.923053
48.765873,62.532937
47.817568,60.801240
49.978547,60.498568
48.781270,59.431013
50.492651,59.100544
48.913865,58.026312
50.339831,57.877568
48.927576,56.916278
50.317634,57.295346
48.934509,56.429153
50.248300,57.057435
49.002846,56.301084
50.011548,56.968736
49.081455,56.320967
49.945420,56.975853
48.952906,56.326393
50.198343,57.072304
48.968412,56.406630
50.383803,57.130890
49.005354,56.326489
50.363603,56.552054
49.045044,55.071926
50.609551,54.503926
49.688879,52.403151
51.291542,51.882521
50.390579,50.123224
51.911456,50.308505
50.961392,49.249183
52.191221,49.684045
51.151295,48.550637
52.444317,48.918266
51.978631,47.921334
53.334276,48.044033
52.705165,46.491702
54.579017,46.798403
54.104887,44.912661
55.962646,44.695548
55.868105,42.904228
57.703987,43.077907
57.606317,41.214882
59.411589,41.697268
59.424678,40.275634
60.604258,40.678831
60.521616,39.973620
61.015494,40.278908
60.676614,40.164161
60.987576,40.200755
60.860791,40.507920
61.362852,40.570783
62.212671,41.029757
63.294742,40.480334
64.770866,40.902315
65.314826,39.604773
67.241640,40.016048
67.908444,37.971840
70.195412,38.457670
70.946172,36.471023
73.187636,37.597284
73.917259,35.319830
76.232004,36.154663
77.067080,33.663128
79.861085,34.568271
80.921651,32.368513
83.625842,33.394200
85.069574,31.625535
87.096445,32.954993
88.930263,31.823985
90.569972,33.431874
91.833205,32.369165
92.779674,33.977579
92.703418,32.996812
93.022099,33.887860
92.645751,33.235363
92.954022,33.786552
92.321759,33.044887
92.931203,33.805637
92.457281,33.225347
92.954861,33.906111
92.457443,33.190814
93.044917,33.955032
92.324674,33.079524
93.028801,34.029121
92.032991,32.726219
92.967075,33.859202
92.523694,33.402248
93.601489,34.557054
93.844159,34.871873
93.842433,34.936706
93.563758,34.578725
92.617050,33.416651
92.869566,33.852726
92.146210,32.796178
92.948803,33.963468
92.250246,32.832595
92.938107,33.855213
92.322549,32.904312
92.840519,33.552013
92.396907,33.109108
92.974379,33.697396
92.247076,32.964443
93.077676,34.072654
92.272045,32.857157
93.066067,34.039216
92.194470,32.788799
93.107432,34.061352
92.347488,32.571655
93.772290,33.662881
93.913470,32.027191
95.192303,33.378969
96.012863,31.936594
97.469114,33.252593
99.226265,32.109319
